Marker	Layer	SampleID
M144	22.1	SP6799
M145	22.1	SP6800
M146	22.1	SP6801
M147	22.1	SP6802
M148	22.1 up	SP6803
M149	21 ?	SP6804
M151	22.1 up	SP6805
M152	21	SP6806
M153	22.1 up	SP6807
M154	21	SP6808
M155	21	SP6809
M156	20	SP6810
M157	20	SP6811
M158	20	SP6812
M159	22.1 up	SP6813
M160	21	SP6814
M161	20	SP6815
M162	20	SP6816
M163	20	SP6817
M164	20	SP6818
M165	22.1 up	SP6819
M166	20	SP6820
M167	20	SP6821
M168	20	SP6822
M169	20	SP6823
M170	22.1 up	SP6824
M171	20	SP6825
M172	20	SP6826
M173	20	SP6827
M174	20	SP6828
M175	22.1 up	SP6829
M176	21	SP6830
M177	20	SP6831
